Time;I ph.angle phase A;I ph.angle phase B;I ph.angle phase C
2019-03-19T01:02:02+01:00;-0.006792;-1.842397;2.913381
2019-03-19T01:02:03+01:00;-1.457963;2.626937;0.060524
2019-03-19T01:02:04+01:00;2.908307;0.763928;-0.729278
2019-03-19T01:02:05+01:00;1.490888;-0.702555;-1.367331
2019-03-19T01:02:06+01:00;0.124127;-1.88963;1.993779
2019-03-19T01:02:08+01:00;null;null;2.339086
2019-03-19T01:02:09+01:00;-0.720544;-2.816724;0.683267
2019-03-19T01:02:10+01:00;-2.522615;1.536633;-0.903228
2019-03-19T01:02:15+01:00;0.076543;-1.842969;2.198441
2019-03-19T01:02:16+01:00;-1.417372;2.97707;2.21197
2019-03-19T01:02:17+01:00;1.464206;-0.165841;-1.714931
2019-03-19T01:02:22+01:00;-2.573643;1.816839;0.982142
2019-03-19T01:02:23+01:00;2.291878;0.189525;-0.019629
2019-03-19T01:02:28+01:00;-2.127705;2.170474;0.081109
2019-03-19T01:02:29+01:00;2.77668;0.715232;-2.504818
2019-03-19T01:02:30+01:00;1.17744;-0.960374;-2.766489
2019-03-19T01:02:32+01:00;-2.870788;1.218967;-1.56775
2019-03-19T01:02:33+01:00;1.998261;-0.106507;-2.953835
2019-03-19T01:02:34+01:00;0.386405;-2.062121;1.032899
2019-03-19T01:02:39+01:00;-2.777768;1.310935;-0.654804
2019-03-19T01:02:40+01:00;1.76901;-0.37723;-2.475057
2019-03-19T01:02:45+01:00;null;2.913372;2.379963
2019-03-19T01:02:46+01:00;-2.713622;1.484219;2.673367
2019-03-19T01:02:47+01:00;1.612704;-0.402788;2.304562
2019-03-19T01:02:49+01:00;1.245948;-0.772631;1.775692
2019-03-19T01:02:50+01:00;-0.50203;-2.333542;0.217718
2019-03-19T01:02:51+01:00;-2.218814;2.004119;0.182948
2019-03-19T01:02:56+01:00;1.656664;-0.327562;3.048525
2019-03-19T01:02:57+01:00;0.254769;-1.796559;-2.783047
2019-03-19T01:03:03+01:00;-2.845434;1.123781;-1.987388
2019-03-19T01:03:04+01:00;2.396791;0.206605;2.981101
2019-03-19T01:03:11+01:00;-1.141734;3.118968;1.774799
2019-03-19T01:03:12+01:00;-2.189615;2.327936;-0.1629
2019-03-19T01:03:13+01:00;-3.118101;0.967338;-1.808176
2019-03-19T01:03:18+01:00;2.746984;0.66406;-2.315764
2019-03-19T01:03:19+01:00;1.377696;-1.081488;2.569336
2019-03-19T01:03:26+01:00;2.871684;0.932484;-1.159145
2019-03-19T01:03:27+01:00;2.057753;-0.066787;-2.213282
2019-03-19T01:03:35+01:00;-2.300902;1.924944;-0.329766
2019-03-19T01:03:36+01:00;2.497876;0.468698;3.06772
2019-03-19T01:03:41+01:00;0.219143;-1.773762;1.650626
2019-03-19T01:03:42+01:00;-1.660833;2.419632;1.558675
2019-03-19T01:03:43+01:00;-2.753884;1.350165;-0.354793
2019-03-19T01:03:46+01:00;-1.861324;2.174748;2.733202
2019-03-19T01:03:47+01:00;2.980776;0.768539;-1.756066
2019-03-19T01:03:52+01:00;0.186132;-1.849841;0.916018
2019-03-19T01:03:53+01:00;-1.70244;2.559841;-0.401808
2019-03-19T01:03:59+01:00;-2.746337;1.296542;-1.499743
2019-03-19T01:04:00+01:00;1.969792;-0.035109;0.352106
2019-03-19T01:04:03+01:00;2.917608;0.912074;-0.407281
2019-03-19T01:04:04+01:00;1.855217;0.003429;2.788898
2019-03-19T01:04:05+01:00;0.877989;-1.225801;-2.291982
2019-03-19T01:04:06+01:00;-0.095711;-2.460884;-1.960298
2019-03-19T01:04:09+01:00;0.423848;-1.852838;-1.717498
2019-03-19T01:04:10+01:00;-1.148203;2.893841;-1.796066
2019-03-19T01:04:16+01:00;-1.963902;2.166404;0.019173
2019-03-19T01:04:17+01:00;-2.839067;1.504682;0.328788
2019-03-19T01:04:22+01:00;1.96491;0.00106;-0.655713
2019-03-19T01:04:23+01:00;0.890169;-1.13497;2.319615
2019-03-19T01:04:26+01:00;2.430456;0.406152;-0.902921
2019-03-19T01:04:27+01:00;1.107447;-1.245966;-2.09594
2019-03-19T01:04:28+01:00;0.05175;-2.142566;-1.683209
2019-03-19T01:04:29+01:00;1.625576;-0.472887;-2.64865
2019-03-19T01:04:30+01:00;-0.099342;-1.975589;1.056773
2019-03-19T01:04:33+01:00;0.495501;-1.572582;-2.781967
2019-03-19T01:04:34+01:00;-1.235326;2.991333;0.857335
2019-03-19T01:04:35+01:00;-2.128316;2.03598;1.818388
2019-03-19T01:04:36+01:00;-3.119216;0.886936;-1.226324
2019-03-19T01:04:39+01:00;-1.266249;2.664385;0.189011
2019-03-19T01:04:40+01:00;-2.915364;1.327978;-1.148508
