Time;I RMS phase A;I RMS phase B;I RMS phase C
2019-03-19T01:02:02+01:00;0.184596;0.075036;0.029187
2019-03-19T01:02:03+01:00;0.183926;0.074142;0.026461
2019-03-19T01:02:04+01:00;0.18354;0.073951;0.025644
2019-03-19T01:02:05+01:00;0.184779;0.076396;0.028429
2019-03-19T01:02:06+01:00;0.184131;0.074863;0.027971
2019-03-19T01:02:08+01:00;null;null;0.028507
2019-03-19T01:02:09+01:00;0.184601;0.075282;0.029368
2019-03-19T01:02:10+01:00;0.183996;0.075108;0.028401
2019-03-19T01:02:15+01:00;0.183576;0.074841;0.028219
2019-03-19T01:02:16+01:00;0.184554;0.075315;0.026746
2019-03-19T01:02:17+01:00;0.18385;0.075134;0.026965
2019-03-19T01:02:22+01:00;0.184067;0.07611;0.026975
2019-03-19T01:02:23+01:00;0.184118;0.075185;0.026461
2019-03-19T01:02:28+01:00;0.184499;0.075058;0.028815
2019-03-19T01:02:29+01:00;0.183398;0.074839;0.024597
2019-03-19T01:02:30+01:00;0.183487;0.074843;0.027715
2019-03-19T01:02:32+01:00;0.18351;0.074615;0.027505
2019-03-19T01:02:33+01:00;0.184665;0.075495;0.026668
2019-03-19T01:02:34+01:00;0.183111;0.074047;0.028438
2019-03-19T01:02:39+01:00;0.183393;0.074593;0.028595
2019-03-19T01:02:40+01:00;0.182759;0.074348;0.027477
2019-03-19T01:02:45+01:00;null;0.073895;0.029418
2019-03-19T01:02:46+01:00;0.183989;0.074646;0.028539
2019-03-19T01:02:47+01:00;0.183917;0.075439;0.027061
2019-03-19T01:02:49+01:00;0.183601;0.074631;0.026617
2019-03-19T01:02:50+01:00;0.184242;0.07525;0.025775
2019-03-19T01:02:51+01:00;0.183596;0.074787;0.027168
2019-03-19T01:02:56+01:00;0.184217;0.075345;0.025355
2019-03-19T01:02:57+01:00;0.18377;0.07452;0.029717
2019-03-19T01:03:03+01:00;0.182693;0.074464;0.028062
2019-03-19T01:03:04+01:00;0.183859;0.074709;0.027115
2019-03-19T01:03:11+01:00;0.185427;0.075222;0.025382
2019-03-19T01:03:12+01:00;0.184211;0.075007;0.027967
2019-03-19T01:03:13+01:00;0.185161;0.076061;0.024293
2019-03-19T01:03:18+01:00;0.18492;0.075143;0.027828
2019-03-19T01:03:19+01:00;0.184096;0.074783;0.027414
2019-03-19T01:03:26+01:00;0.184428;0.075611;0.026544
2019-03-19T01:03:27+01:00;0.183169;0.074456;0.02804
2019-03-19T01:03:35+01:00;0.183659;0.074842;0.027703
2019-03-19T01:03:36+01:00;0.18391;0.074494;0.028918
2019-03-19T01:03:41+01:00;0.183657;0.07556;0.026126
2019-03-19T01:03:42+01:00;0.183289;0.074151;0.029788
2019-03-19T01:03:43+01:00;0.184174;0.076023;0.023653
2019-03-19T01:03:46+01:00;0.182724;0.074392;0.026985
2019-03-19T01:03:47+01:00;0.183776;0.075458;0.026356
2019-03-19T01:03:52+01:00;0.183992;0.074453;0.027277
2019-03-19T01:03:53+01:00;0.185079;0.076025;0.02744
2019-03-19T01:03:59+01:00;0.18378;0.074831;0.027917
2019-03-19T01:04:00+01:00;0.184263;0.074567;0.029675
2019-03-19T01:04:03+01:00;0.183881;0.074989;0.027273
2019-03-19T01:04:04+01:00;0.183228;0.075052;0.026398
2019-03-19T01:04:05+01:00;0.184161;0.075769;0.029088
2019-03-19T01:04:06+01:00;0.183547;0.07445;0.027403
2019-03-19T01:04:09+01:00;0.183977;0.075346;0.028078
