Time;V RMS phase A;V RMS phase B;V RMS phase C
2019-03-19T01:02:02+01:00;231.298431;231.142212;0.017005
2019-03-19T01:02:03+01:00;231.348877;231.167618;0.004564
2019-03-19T01:02:04+01:00;231.249588;231.10083;0.012517
2019-03-19T01:02:05+01:00;231.256393;231.087723;0.024474
2019-03-19T01:02:06+01:00;231.292587;231.136139;0.011643
2019-03-19T01:02:09+01:00;231.303894;231.115097;0.01672
2019-03-19T01:02:10+01:00;231.318924;231.141281;0.023533
2019-03-19T01:02:15+01:00;231.201981;231.087601;0.025643
2019-03-19T01:02:16+01:00;231.224869;231.045456;0.028428
2019-03-19T01:02:17+01:00;231.352951;231.152435;0.023235
2019-03-19T01:02:22+01:00;231.369919;231.173935;0.029928
2019-03-19T01:02:23+01:00;231.385101;231.222687;0.030373
2019-03-19T01:02:28+01:00;231.241318;231.079498;0.025324
2019-03-19T01:02:29+01:00;231.298965;231.060715;0.017124
2019-03-19T01:02:30+01:00;231.29274;231.121643;0.030748
2019-03-19T01:02:32+01:00;231.16011;230.995087;0.022966
2019-03-19T01:02:33+01:00;231.091156;230.922562;0.027929
2019-03-19T01:02:34+01:00;231.093994;230.946594;0.01258
2019-03-19T01:02:39+01:00;231.19313;231.066589;0.000819
2019-03-19T01:02:40+01:00;231.177032;231.007523;0.003043
2019-03-19T01:02:46+01:00;231.122101;230.971283;0.033916
2019-03-19T01:02:47+01:00;231.169067;230.962845;0.019408
2019-03-19T01:02:49+01:00;231.186447;231.019012;0.023524
2019-03-19T01:02:50+01:00;231.184082;231.049347;0.017489
2019-03-19T01:02:51+01:00;231.153229;231.018143;0.013015
2019-03-19T01:02:56+01:00;231.07486;230.940323;0.030263
2019-03-19T01:02:57+01:00;231.188309;231.009766;0.008677
2019-03-19T01:02:58+01:00;231.200714;null;null
2019-03-19T01:03:03+01:00;231.33847;231.178406;0.008446
2019-03-19T01:03:04+01:00;231.228043;231.071243;0.012095
2019-03-19T01:03:11+01:00;231.306763;231.18074;0.019142
2019-03-19T01:03:12+01:00;231.023911;230.830658;0.023396
2019-03-19T01:03:13+01:00;231.089478;230.941849;0.012066
2019-03-19T01:03:18+01:00;231.301895;231.143921;0.032836
2019-03-19T01:03:19+01:00;231.328506;231.201843;0.003354
2019-03-19T01:03:26+01:00;231.179337;231.011703;0.005535
2019-03-19T01:03:27+01:00;231.082596;230.945007;0.02219
2019-03-19T01:03:28+01:00;231.142273;230.970276;0.020049
2019-03-19T01:03:35+01:00;231.082138;230.941345;0.002115
2019-03-19T01:03:36+01:00;231.065918;230.855408;0.022168
2019-03-19T01:03:41+01:00;null;null;0.032054
2019-03-19T01:03:42+01:00;231.075745;230.936554;0.007605
2019-03-19T01:03:43+01:00;231.071625;230.922913;0.026434
2019-03-19T01:03:46+01:00;231.027496;230.892868;0.033651
2019-03-19T01:03:47+01:00;230.940536;230.760971;0.019489
2019-03-19T01:03:52+01:00;231.025055;230.87117;0.031935
2019-03-19T01:03:53+01:00;230.994278;230.866455;0.018621
2019-03-19T01:03:59+01:00;230.945541;230.837097;0.014116
2019-03-19T01:04:00+01:00;231.019913;230.864273;0.018043
2019-03-19T01:04:03+01:00;230.722382;230.599289;0.014715
2019-03-19T01:04:04+01:00;230.923782;230.794083;0.011488
2019-03-19T01:04:05+01:00;230.947296;230.795288;0.019333
2019-03-19T01:04:06+01:00;230.872925;230.745361;0.003651
2019-03-19T01:04:09+01:00;230.947235;230.803802;0.018261
2019-03-19T01:04:10+01:00;230.955872;230.780716;0.014521
2019-03-19T01:04:11+01:00;231.008682;230.870834;0.016129
2019-03-19T01:04:16+01:00;230.956039;230.761871;0.021141
2019-03-19T01:04:17+01:00;230.951187;230.768478;0.006625
2019-03-19T01:04:22+01:00;230.964752;230.762711;0.019604
2019-03-19T01:04:23+01:00;230.95462;230.806046;0.006471
2019-03-19T01:04:24+01:00;230.955811;null;null
2019-03-19T01:04:26+01:00;230.812134;230.674728;0.033468
2019-03-19T01:04:27+01:00;230.922867;230.770538;0.032344
2019-03-19T01:04:28+01:00;230.918182;230.764221;0.017916
2019-03-19T01:04:29+01:00;230.86705;230.719269;0.040939
2019-03-19T01:04:30+01:00;230.953156;230.779877;0.011842
2019-03-19T01:04:33+01:00;230.959778;230.799622;0.004431
2019-03-19T01:04:34+01:00;230.962845;230.783203;0.009438
2019-03-19T01:04:35+01:00;230.909363;230.737991;0.002409
2019-03-19T01:04:36+01:00;230.961075;230.819229;0.022568
2019-03-19T01:04:39+01:00;231.06842;230.940552;0.033904
2019-03-19T01:04:40+01:00;231.06955;230.863083;0.03586
2019-03-19T01:04:41+01:00;231.051178;230.91864;0.002753
2019-03-19T01:04:43+01:00;231.076004;230.949371;0.015593
2019-03-19T01:04:44+01:00;231.144608;230.976501;0.01028
2019-03-19T01:04:45+01:00;231.064774;230.9077;0.013072
2019-03-19T01:04:46+01:00;231.051651;230.894882;0.001235
2019-03-19T01:04:47+01:00;231.029129;230.874344;0.011299
2019-03-19T01:04:50+01:00;231.085098;230.902206;0.027795
2019-03-19T01:04:51+01:00;231.078705;230.904373;0.024769
2019-03-19T01:04:52+01:00;231.068024;230.922012;0.024255
2019-03-19T01:04:53+01:00;231.037643;230.874466;0.011736
2019-03-19T01:04:54+01:00;230.948227;230.811203;0.021628
2019-03-19T01:04:56+01:00;null;230.89418;0.015615
2019-03-19T01:04:57+01:00;231.079559;230.922043;0.014291
2019-03-19T01:04:58+01:00;231.048752;230.881866;0.004878
2019-03-19T01:04:59+01:00;231.083893;230.903748;0.011
2019-03-19T01:05:00+01:00;231.13446;230.944809;0.028446
2019-03-19T01:05:03+01:00;231.075195;230.870102;0.023902
2019-03-19T01:05:04+01:00;231.126541;230.935989;0.012199
2019-03-19T01:05:07+01:00;231.123734;230.953613;0.028968
2019-03-19T01:05:08+01:00;231.108704;230.902603;0.032569
2019-03-19T01:05:09+01:00;231.21257;231.056519;0.014992
2019-03-19T01:05:10+01:00;231.237579;231.047974;0.010269
2019-03-19T01:05:11+01:00;231.140717;230.957184;0.021883
2019-03-19T01:05:13+01:00;null;null;0.016948
2019-03-19T01:05:14+01:00;231.084961;230.907059;0.040782
2019-03-19T01:05:15+01:00;231.156754;231.004303;0.024043
2019-03-19T01:05:16+01:00;231.108505;230.931091;0.011822
2019-03-19T01:05:17+01:00;231.13002;230.932175;0.035317
2019-03-19T01:05:20+01:00;231.1884;231.008377;0.009526
2019-03-19T01:05:21+01:00;231.228683;231.094254;0.020949
2019-03-19T01:05:22+01:00;231.128998;230.940475;0.022747
2019-03-19T01:05:23+01:00;231.150375;230.9944;0.020079
2019-03-19T01:05:26+01:00;231.119919;230.946747;0.019485
2019-03-19T01:05:27+01:00;231.225586;231.04129;0.021873
2019-03-19T01:05:28+01:00;231.242493;231.044571;0.001817
2019-03-19T01:05:30+01:00;231.31691;231.12442;0.011798
2019-03-19T01:05:31+01:00;231.252487;231.088959;0.010397
2019-03-19T01:05:32+01:00;231.247467;231.075165;0.02241
2019-03-19T01:05:33+01:00;231.224716;231.040833;0.007451
2019-03-19T01:05:34+01:00;231.375565;231.196564;0.012535
2019-03-19T01:05:37+01:00;231.392578;231.220444;0.02005
2019-03-19T01:05:38+01:00;231.392685;231.222595;0.022172
2019-03-19T01:05:39+01:00;231.358459;231.196533;0.040158
2019-03-19T01:05:40+01:00;231.374542;231.224182;0.009267
2019-03-19T01:05:41+01:00;231.35788;231.222092;0.018744
2019-03-19T01:05:43+01:00;null;231.250519;0.014799
2019-03-19T01:05:44+01:00;231.304718;231.152298;0.011722
2019-03-19T01:05:45+01:00;231.321899;231.181381;0.033373
2019-03-19T01:05:46+01:00;231.369308;231.229019;0.022771
2019-03-19T01:05:47+01:00;231.403351;231.236542;0.010756
2019-03-19T01:05:50+01:00;231.441483;231.277023;0.010188
2019-03-19T01:05:51+01:00;231.359879;231.249512;0.009275
2019-03-19T01:05:54+01:00;231.321732;231.189194;0.043378
2019-03-19T01:05:55+01:00;231.324997;231.183792;0.027041
2019-03-19T01:05:56+01:00;231.368881;231.209717;0.026451
2019-03-19T01:05:57+01:00;231.412857;231.289948;0.028412
2019-03-19T01:05:58+01:00;231.371704;231.241165;0.02418
2019-03-19T01:06:00+01:00;231.448318;231.320557;0.021556
2019-03-19T01:06:01+01:00;231.371155;231.23616;0.011766
2019-03-19T01:06:02+01:00;231.302643;231.119263;0.011119
2019-03-19T01:06:03+01:00;231.292679;231.125366;0.014493
2019-03-19T01:06:04+01:00;231.347702;231.203735;0.037485
2019-03-19T01:06:07+01:00;231.349976;231.226791;0.021787
2019-03-19T01:06:08+01:00;231.381485;231.204193;0.011612
2019-03-19T01:06:11+01:00;231.283066;231.140411;0.014048
2019-03-19T01:06:12+01:00;231.377258;231.226028;0.007259
2019-03-19T01:06:13+01:00;231.357971;231.240189;null
2019-03-19T01:06:14+01:00;231.411179;231.281677;0.011865
2019-03-19T01:06:15+01:00;231.353577;231.193542;0.017067
2019-03-19T01:06:17+01:00;231.397415;231.262955;0.02458
2019-03-19T01:06:18+01:00;231.371994;231.221207;0.015728
2019-03-19T01:06:19+01:00;231.321014;231.176376;0.017216
2019-03-19T01:06:20+01:00;231.343994;231.214981;0.030556
2019-03-19T01:06:21+01:00;231.361572;231.19278;0.007712
2019-03-19T01:06:24+01:00;231.357254;231.253586;0.011751
2019-03-19T01:06:25+01:00;231.269608;231.136688;0.032393
2019-03-19T01:06:26+01:00;null;231.150696;0.043646
2019-03-19T01:06:27+01:00;231.259399;231.132019;0.0035
2019-03-19T01:06:28+01:00;231.320282;231.222092;0.022382
2019-03-19T01:06:31+01:00;231.244812;231.11795;0.031953
2019-03-19T01:06:32+01:00;231.254562;231.14801;0.003766
2019-03-19T01:06:37+01:00;231.232193;231.118622;0.015225
2019-03-19T01:06:38+01:00;231.334549;231.173615;0.034045
2019-03-19T01:06:41+01:00;231.351532;231.185104;0.017067
2019-03-19T01:06:42+01:00;231.220535;231.144547;0.029515
2019-03-19T01:06:43+01:00;231.2052;231.02919;0.00828
2019-03-19T01:06:44+01:00;231.302933;231.146042;0.040068
2019-03-19T01:06:45+01:00;231.290192;231.144608;0.024065
2019-03-19T01:06:48+01:00;231.243774;231.109299;0.018188
2019-03-19T01:06:49+01:00;231.277206;231.132721;0.012835
2019-03-19T01:06:54+01:00;231.278351;231.10965;0.01699
2019-03-19T01:06:55+01:00;231.226288;231.092529;0.003168
2019-03-19T01:06:56+01:00;231.212997;231.046921;null
2019-03-19T01:06:58+01:00;231.148224;231.020065;0.029016
2019-03-19T01:06:59+01:00;231.183655;231.066757;0.007438
2019-03-19T01:07:00+01:00;231.21814;231.090363;0.031639
2019-03-19T01:07:01+01:00;231.220642;231.05426;0.025907
2019-03-19T01:07:02+01:00;231.202682;231.023819;0.049395
2019-03-19T01:07:04+01:00;null;null;0.021565
2019-03-19T01:07:05+01:00;231.178955;231.064804;0.027568
2019-03-19T01:07:06+01:00;231.117371;230.972778;0.024846
2019-03-19T01:07:07+01:00;231.239868;231.103653;0.027493
2019-03-19T01:07:08+01:00;231.238876;231.158142;0.02672
2019-03-19T01:07:11+01:00;231.082001;230.971695;0.015863
2019-03-19T01:07:12+01:00;231.188995;231.030045;0.003788
2019-03-19T01:07:13+01:00;231.27243;231.128555;0.007539
2019-03-19T01:07:18+01:00;231.157394;231.026886;0.00636
2019-03-19T01:07:19+01:00;231.203812;231.040985;0.03202
2019-03-19T01:07:24+01:00;231.399933;231.217407;0.014801
2019-03-19T01:07:25+01:00;231.311462;231.137589;0.022304
2019-03-19T01:07:26+01:00;231.23764;231.050018;0.014275
2019-03-19T01:07:28+01:00;231.226837;231.070618;0.007596
2019-03-19T01:07:29+01:00;231.209854;231.027557;0.011901
2019-03-19T01:07:30+01:00;231.151489;231.044846;0.019314
2019-03-19T01:07:35+01:00;231.3396;231.224731;0.01284
2019-03-19T01:07:36+01:00;231.375595;231.194077;0.016443
2019-03-19T01:07:41+01:00;231.372345;231.196564;0.016238
2019-03-19T01:07:42+01:00;231.257019;231.126648;0.038776
2019-03-19T01:07:43+01:00;231.318192;231.178436;0.02078
2019-03-19T01:07:45+01:00;231.268509;231.10347;0.008577
2019-03-19T01:07:46+01:00;231.356323;231.197617;0.013846
2019-03-19T01:07:47+01:00;231.330338;231.164185;0.010137
2019-03-19T01:07:52+01:00;231.298233;231.10939;0.027092
2019-03-19T01:07:53+01:00;231.366364;231.21228;0.005934
2019-03-19T01:07:59+01:00;231.366913;231.252411;0.024392
2019-03-19T01:08:00+01:00;231.412292;231.262619;0.018035
2019-03-19T01:08:05+01:00;231.43602;231.264618;0.0213
2019-03-19T01:08:06+01:00;231.327637;231.17572;0.016419
2019-03-19T01:08:15+01:00;231.541641;231.333176;0.038855
2019-03-19T01:08:16+01:00;231.641205;231.413971;0.026741
2019-03-19T01:08:17+01:00;231.585434;231.353607;0.035775
2019-03-19T01:08:22+01:00;231.579224;231.358154;0.010325
2019-03-19T01:08:23+01:00;231.571259;231.339691;0.021699
2019-03-19T01:08:26+01:00;231.495132;231.258621;0.006317
2019-03-19T01:08:27+01:00;231.501648;231.282166;0.016437
2019-03-19T01:08:28+01:00;231.530426;231.300079;0.002405
2019-03-19T01:08:29+01:00;231.477097;231.25769;0.013624
2019-03-19T01:08:30+01:00;231.44635;231.200424;0.009384
2019-03-19T01:08:32+01:00;231.398285;231.178589;0.016794
2019-03-19T01:08:33+01:00;231.538437;231.295731;0.002639
2019-03-19T01:08:34+01:00;231.542191;231.348572;0.017247
2019-03-19T01:08:39+01:00;231.469482;231.236481;0.011125
2019-03-19T01:08:40+01:00;231.481323;231.289917;0.002447
2019-03-19T01:08:41+01:00;231.434067;231.206589;0.003647
2019-03-19T01:08:46+01:00;231.485123;231.219894;0.02452
2019-03-19T01:08:47+01:00;231.4552;231.252655;0.022731
2019-03-19T01:08:54+01:00;null;null;0.020456
2019-03-19T01:08:55+01:00;231.464417;231.272232;0.018346
2019-03-19T01:08:56+01:00;231.479675;231.269608;0.010417
2019-03-19T01:09:03+01:00;231.456497;231.213867;0.020954
2019-03-19T01:09:04+01:00;231.438919;231.20166;0.023724
2019-03-19T01:09:09+01:00;231.394272;231.15477;0.014844
2019-03-19T01:09:10+01:00;231.444611;231.190567;0.022122
2019-03-19T01:09:11+01:00;231.407516;231.16304;0.026522
2019-03-19T01:09:13+01:00;231.275467;231.037231;0.010906
2019-03-19T01:09:14+01:00;231.318817;231.050842;0.011772
2019-03-19T01:09:15+01:00;231.373199;231.11972;0.010483
2019-03-19T01:09:18+01:00;231.345551;231.069809;0.015308
2019-03-19T01:09:19+01:00;231.340652;231.084854;0.003267
2019-03-19T01:09:26+01:00;231.469696;231.229324;0.004473
2019-03-19T01:09:27+01:00;231.373245;231.105576;0.036167
2019-03-19T01:09:28+01:00;231.346756;231.103012;0.016853
2019-03-19T01:09:35+01:00;231.435272;231.201508;0.01371
2019-03-19T01:09:36+01:00;231.381805;231.114929;0.031486
2019-03-19T01:09:37+01:00;231.353165;null;null
2019-03-19T01:09:42+01:00;231.309723;231.117432;0.009876
2019-03-19T01:09:43+01:00;231.308273;231.043747;0.028215
2019-03-19T01:09:46+01:00;231.295242;231.086884;0.013851
2019-03-19T01:09:47+01:00;231.311356;231.053284;0.035695
2019-03-19T01:09:52+01:00;231.321075;231.082687;0.006664
2019-03-19T01:09:53+01:00;231.30397;231.031281;0.016261
2019-03-19T01:09:54+01:00;231.262512;231.079376;0.024155
2019-03-19T01:09:59+01:00;231.410126;231.170776;0.005561
2019-03-19T01:10:00+01:00;231.350266;231.133698;0.024346
2019-03-19T01:10:05+01:00;231.272919;231.053436;0.020034
2019-03-19T01:10:06+01:00;231.219681;231.002869;0.022964
2019-03-19T01:10:07+01:00;231.361954;231.165482;0.00796
2019-03-19T01:10:09+01:00;null;231.005753;0.018424
2019-03-19T01:10:10+01:00;231.333664;231.115356;0.026119
2019-03-19T01:10:11+01:00;231.441544;231.258423;0.032911
2019-03-19T01:10:16+01:00;231.345612;231.167694;0.007024
2019-03-19T01:10:17+01:00;231.349518;231.093445;0.01953
2019-03-19T01:10:22+01:00;231.241318;230.998383;0.008263
2019-03-19T01:10:23+01:00;231.414749;231.197678;0.00943
2019-03-19T01:10:24+01:00;231.34169;231.08493;0.001891
2019-03-19T01:10:27+01:00;231.278259;231.0242;0.011956
2019-03-19T01:10:28+01:00;231.318512;231.065109;0.011807
2019-03-19T01:10:29+01:00;231.341019;231.114639;0.01129
2019-03-19T01:10:30+01:00;231.244293;231.018204;0.019259
2019-03-19T01:10:33+01:00;231.341125;231.107483;0.00973
2019-03-19T01:10:34+01:00;231.309845;231.044998;0.014225
2019-03-19T01:10:40+01:00;231.380783;231.144684;0.021962
2019-03-19T01:10:41+01:00;231.35939;231.122528;0.022746
2019-03-19T01:10:44+01:00;231.469131;231.204636;0.024298
2019-03-19T01:10:45+01:00;231.474289;231.220016;0.042493
2019-03-19T01:10:46+01:00;231.392807;231.144852;0.029271
2019-03-19T01:10:47+01:00;231.334946;231.058319;0.028096
2019-03-19T01:10:50+01:00;231.335098;231.066086;0.006827
2019-03-19T01:10:51+01:00;231.283112;231.043976;0.020382
2019-03-19T01:10:52+01:00;null;231.122131;0.024048
2019-03-19T01:10:53+01:00;231.336868;231.086182;0.021436
2019-03-19T01:10:54+01:00;231.412384;231.169098;0.013985
2019-03-19T01:10:57+01:00;231.533203;231.300705;0.025385
2019-03-19T01:10:58+01:00;231.487396;231.277084;0.00618
2019-03-19T01:11:03+01:00;231.505875;231.252579;0.017776
2019-03-19T01:11:04+01:00;231.527557;231.256714;0.009371
2019-03-19T01:11:10+01:00;231.535675;231.296539;0.012066
2019-03-19T01:11:11+01:00;231.509216;231.265472;0.013035
2019-03-19T01:11:14+01:00;231.584198;231.38353;0.012608
2019-03-19T01:11:15+01:00;231.547943;231.307281;0.00996
2019-03-19T01:11:16+01:00;231.509735;231.254807;0.028852
2019-03-19T01:11:17+01:00;231.563034;231.304138;0.015154
2019-03-19T01:11:20+01:00;231.645523;231.404266;0.00647
2019-03-19T01:11:21+01:00;231.570786;231.329681;0.020897
2019-03-19T01:11:22+01:00;231.610138;231.393799;null
2019-03-19T01:11:23+01:00;231.608688;231.334625;0.009664
2019-03-19T01:11:24+01:00;231.432434;231.245605;0.01195
2019-03-19T01:11:27+01:00;231.564285;231.336121;0.008281
2019-03-19T01:11:28+01:00;231.544052;231.282837;0.037474
2019-03-19T01:11:31+01:00;231.478531;231.2397;0.020005
2019-03-19T01:11:32+01:00;231.527924;231.305069;0.034039
2019-03-19T01:11:33+01:00;231.559647;231.371155;0.003838
2019-03-19T01:11:34+01:00;231.549454;231.339905;0.016864
2019-03-19T01:11:37+01:00;231.514984;231.266006;0.021395
2019-03-19T01:11:38+01:00;231.499832;231.258392;0.031019
2019-03-19T01:11:39+01:00;null;231.251389;0.034507
2019-03-19T01:11:40+01:00;231.240173;230.999146;0.028181
2019-03-19T01:11:41+01:00;231.308487;231.06575;0.020737
2019-03-19T01:11:44+01:00;231.409042;231.207748;0.019345
2019-03-19T01:11:45+01:00;231.441162;231.195557;0.014699
2019-03-19T01:11:46+01:00;231.454956;231.271378;0.040988
2019-03-19T01:11:47+01:00;231.362274;231.151581;0.025773
2019-03-19T01:11:50+01:00;231.396515;231.15625;0.032033
2019-03-19T01:11:51+01:00;231.443863;231.234589;0.009687
2019-03-19T01:11:54+01:00;231.541321;231.295029;0.006065
2019-03-19T01:11:55+01:00;231.483429;231.24675;0.014892
2019-03-19T01:11:56+01:00;231.51445;231.27594;0.026709
2019-03-19T01:11:57+01:00;231.519287;231.285675;0.023604
2019-03-19T01:11:58+01:00;231.509537;231.21817;0.01375
