Time;V ph.angle phase A;V ph.angle phase B;V ph.angle phase C
2019-03-19T01:02:02+01:00;-0.747323;-2.840013;1.079377
2019-03-19T01:02:03+01:00;-2.17047;2.020494;2.09029
2019-03-19T01:02:04+01:00;2.223109;0.131055;-2.157632
2019-03-19T01:02:05+01:00;0.688952;-1.40499;-2.746329
2019-03-19T01:02:06+01:00;-0.734936;-2.828196;0.045981
2019-03-19T01:02:09+01:00;-1.394307;2.796541;0.663355
2019-03-19T01:02:10+01:00;2.988517;0.893759;1.894562
2019-03-19T01:02:15+01:00;-0.622573;-2.716515;-1.09581
2019-03-19T01:02:16+01:00;-2.014028;2.177327;-2.480777
2019-03-19T01:02:17+01:00;0.76392;-1.329034;0.209914
2019-03-19T01:02:22+01:00;2.970965;0.876853;1.832501
2019-03-19T01:02:23+01:00;1.493117;-0.599737;-1.164359
2019-03-19T01:02:28+01:00;-2.770818;1.420108;0.399577
2019-03-19T01:02:29+01:00;2.100806;0.008996;-0.117881
2019-03-19T01:02:30+01:00;0.307098;-1.786546;-1.152442
2019-03-19T01:02:32+01:00;2.605406;0.515683;2.361913
2019-03-19T01:02:33+01:00;1.275882;-0.81654;0.4369
2019-03-19T01:02:34+01:00;-0.451581;-2.547216;-1.51282
2019-03-19T01:02:39+01:00;2.794741;0.704072;3.084453
2019-03-19T01:02:40+01:00;1.024296;-1.067829;-0.182573
2019-03-19T01:02:46+01:00;2.778994;0.689061;1.760069
2019-03-19T01:02:47+01:00;0.961918;-1.130497;1.659737
2019-03-19T01:02:49+01:00;0.479461;-1.614663;-0.434741
2019-03-19T01:02:50+01:00;-1.223909;2.969265;-1.343981
2019-03-19T01:02:51+01:00;-3.000538;1.191986;2.934589
2019-03-19T01:02:56+01:00;0.972203;-1.119846;-1.88734
2019-03-19T01:02:57+01:00;-0.434371;-2.529886;-1.508264
2019-03-19T01:02:58+01:00;-2.164611;null;null
2019-03-19T01:03:03+01:00;2.677944;0.587732;1.16196
2019-03-19T01:03:04+01:00;1.602925;-0.488535;1.592135
2019-03-19T01:03:11+01:00;-1.880962;2.310237;-2.995131
2019-03-19T01:03:12+01:00;-2.871505;1.320563;1.623043
2019-03-19T01:03:13+01:00;2.403099;0.311411;1.73284
2019-03-19T01:03:18+01:00;1.977939;-0.114872;1.682879
2019-03-19T01:03:19+01:00;0.558405;-1.535526;1.28111
2019-03-19T01:03:26+01:00;2.202951;0.111681;2.371225
2019-03-19T01:03:27+01:00;1.330939;-0.761259;-0.00384
2019-03-19T01:03:28+01:00;0.246878;-1.845752;0.262705
2019-03-19T01:03:35+01:00;-2.965343;1.227396;3.043808
2019-03-19T01:03:36+01:00;1.794763;-0.302512;1.159763
2019-03-19T01:03:41+01:00;null;null;-2.550985
2019-03-19T01:03:42+01:00;-2.425439;1.768866;-0.214111
2019-03-19T01:03:43+01:00;2.766225;0.675783;-2.890882
2019-03-19T01:03:46+01:00;-2.648171;1.545267;0.540855
2019-03-19T01:03:47+01:00;2.105143;0.013449;-1.892825
2019-03-19T01:03:52+01:00;-0.534375;-2.629608;0.379881
2019-03-19T01:03:53+01:00;-2.379464;1.811482;1.694021
