Time;Freq phase A;Freq phase B
2019-03-19T01:02:02+01:00;49.962967;49.963089
2019-03-19T01:02:03+01:00;49.963818;49.963768
2019-03-19T01:02:04+01:00;49.964272;49.964176
2019-03-19T01:02:05+01:00;49.962696;49.963322
2019-03-19T01:02:06+01:00;49.96347;49.963802
2019-03-19T01:02:09+01:00;49.961758;49.961819
2019-03-19T01:02:10+01:00;49.96051;49.961468
2019-03-19T01:02:15+01:00;49.961891;49.962585
2019-03-19T01:02:16+01:00;49.96241;49.962261
2019-03-19T01:02:17+01:00;49.965065;49.965393
2019-03-19T01:02:22+01:00;49.967232;49.968018
2019-03-19T01:02:23+01:00;49.97031;49.970589
2019-03-19T01:02:28+01:00;49.972965;49.972862
2019-03-19T01:02:29+01:00;49.97438;49.97419
2019-03-19T01:02:30+01:00;49.97654;49.977104
2019-03-19T01:02:32+01:00;49.980675;49.97971
2019-03-19T01:02:33+01:00;49.979774;49.979885
2019-03-19T01:02:34+01:00;49.979618;49.980949
2019-03-19T01:02:39+01:00;49.978897;49.978249
2019-03-19T01:02:40+01:00;49.978558;49.978523
2019-03-19T01:02:46+01:00;49.977379;49.97644
2019-03-19T01:02:47+01:00;49.976528;49.976658
2019-03-19T01:02:49+01:00;49.98283;49.983589
2019-03-19T01:02:50+01:00;49.985165;49.984253
2019-03-19T01:02:51+01:00;49.984489;49.983871
2019-03-19T01:02:56+01:00;49.988205;49.988049
2019-03-19T01:02:57+01:00;49.986366;49.98772
2019-03-19T01:02:58+01:00;49.986916;null
2019-03-19T01:03:03+01:00;49.991436;49.990639
2019-03-19T01:03:04+01:00;49.991566;49.991253
2019-03-19T01:03:11+01:00;49.993084;49.99295
2019-03-19T01:03:12+01:00;49.995968;49.995541
2019-03-19T01:03:13+01:00;49.996021;49.995773
2019-03-19T01:03:18+01:00;49.992481;49.992641
2019-03-19T01:03:19+01:00;49.992157;49.992725
2019-03-19T01:03:26+01:00;49.9851;49.984669
2019-03-19T01:03:27+01:00;49.982399;49.982346
2019-03-19T01:03:28+01:00;49.980164;49.980278
2019-03-19T01:03:35+01:00;49.974632;49.973797
2019-03-19T01:03:36+01:00;49.97216;49.974148
2019-03-19T01:03:42+01:00;49.974323;49.972904
2019-03-19T01:03:43+01:00;49.974724;49.973942
2019-03-19T01:03:46+01:00;49.980427;49.979382
2019-03-19T01:03:47+01:00;49.979256;49.978985
2019-03-19T01:03:52+01:00;49.979427;49.980579
2019-03-19T01:03:53+01:00;49.978439;49.978424
2019-03-19T01:03:59+01:00;49.972755;49.972122
2019-03-19T01:04:00+01:00;49.971558;49.971626
2019-03-19T01:04:03+01:00;49.971642;49.971367
